Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;;;3.67975.00.0;LEISTUNGSSCHILD,BEDRUCKT;0;;;;0;;;;0;
2;300;L;3.09934.11.0;LEISTUNGSSCHILD;1;ST;;;0;02.06.2017;31.12.9999;;0;
2;305;L;3.09944.00.0;FARBBAND;3;CM;;;1;05.04.2018;31.12.9999;;0;
1;;;9.00159.02.1;KLT6280 I-FAST DUMMY;0;;;;0;;;;0;
2;5;L;9.00159.02.0;KLT6280 I-FAST;0,001;ST;;;0;24.02.2020;31.12.9999;;0;
2;;;5.12952.06.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.06.2011;31.12.9999;;0;
3;205;D;D-818109010 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.06.2011;31.12.9999;;0;
3;210;D;D-801100040 PZD 000 00;TECHNISCHE DATEN;1;ST;;;0;09.06.2017;31.12.9999;;0;
3;300;L;3.03484.00.0;KONTAKT;3;ST;;;0;22.06.2011;31.12.9999;;0;
3;305;L;3.11044.00.0;ACHSE;1;ST;;;1;22.06.2011;31.12.9999;;0;
2;;;3.22760.20.0;PUMPENGEHAEUSE;0;;;;0;;;;0;
3;200;D;D-818109030 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;18.08.2016;31.12.9999;;0;
2;;;5.00490.09.0;STATOR,GEWICKELT;0;;;;0;;;;0;
3;300;L;5.00489.00.1;STATORPAKET,VERPACKT;1;ST;;;1;20.07.2012;31.12.9999;;0;
3;305;L;3.09025.00.0;KONTAKT;2;ST;;;1;15.11.2011;31.12.9999;;0;
3;310;L;3.01323.03.0;ISOLIERTEIL;1;ST;;;1;15.11.2011;31.12.9999;;0;
3;315;L;3.01324.02.0;ISOLIERTEIL;1;ST;;;0;15.11.2011;31.12.9999;;0;
3;320;L;3.13439.05.0;WICKELDRAHT;19,7;G;;;0;22.07.2019;31.12.9999;;0;
2;;;5.10374.61.0;LEITERPLATTE,GEWASCHEN;0;;;;0;;;;0;
3;200;D;D-803099290 PZD 000 01;LASTENHEFT;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;205;D;D-803100170 PZD 000 02;STUECKLISTE;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;210;D;D-803102050 PZD 000 01;PRUEFVORSCHRIFT;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;215;D;D-802226010 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;220;D;D-803103280 PZD 000 03;LAYOUTFREIGABE;1;ST;;;0;23.03.2018;31.12.9999;;0;
3;225;D;D-803111130 PZD 000 00;GERBERDATEN;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;230;D;D-802476070 PZD 000 02;SOFTWARE;1;ST;;;0;23.03.2018;31.12.9999;;0;
3;235;D;D-803408080 PZD 000 01;SCHALTPLAN;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;240;D;D-803458060 PZD 000 00;BESTUECKUNGSPLAN;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;300;L;3.27243.11.0;LEITERPLATTE;1;ST;;;0;25.04.2017;31.12.9999;;0;
3;305;L;3.27797.03.0;SENSORAUFNAHME;1;ST;;;0;25.04.2017;31.12.9999;;0;
2;;;5.02097.00.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-818107010 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
3;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;02.12.2004;31.12.9999;;0;
2;;;5.14726.00.0;DECKEL,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-802604000 PZD 000 02;PRUEFVORSCHRIFT;1;ST;;;0;02.03.2017;31.12.9999;;0;
3;300;L;3.28443.03.0;DECKEL;1;ST;;;1;06.08.2013;31.12.9999;;0;
3;305;L;3.28452.00.0;ABDECKPLATTE;1;ST;;;0;03.12.2010;31.12.9999;;0;
3;310;L;3.28882.01.0;DRUCKAUSGLEICHSELEMENT;1;ST;;;1;03.12.2010;31.12.9999;;0;
3;315;L;3.55810.00.0;PE-SEITENFALTENBEUTEL;0,001;ST;;;0;05.02.2018;31.12.9999;;0;
2;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
3;200;D;D-EJOT-WN 1461 T 2 KND 000 01;VERGÜTETE EJOT PT-K SCHRAUBEN;1;ST;;;0;04.10.2002;31.12.9999;;1;
2;;;3.16849.02.0;ANLAUFSCHEIBE;0;;;;0;;;;0;
3;300;L;3.20276.00.0;STABSTAHL;1,7;G;;;0;09.06.2016;31.12.9999;;0;
2;;;3.09509.00.1;SCHMIERSTOFF;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;06.10.1999;31.12.9999;;1;
2;;;3.09944.00.0;FARBBAND;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;13.07.1995;31.12.9999;;0;
3;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;11.05.1995;31.12.9999;;1;
3;300;L;1.48789.01.0;CARBONBAND;0,001;ST;;;0;05.11.1998;31.12.9999;;0;
3;;;3.11044.00.0;ACHSE;0;;;;0;;;;0;
4;300;L;3.09219.00.0;ACHSE;1;ST;;;1;08.05.2007;31.12.9999;;0;
3;;;5.00489.00.1;STATORPAKET,VERPACKT;0;;;;0;;;;0;
4;300;L;5.00489.00.0;STAENDERPAKET;1;ST;;;1;26.02.2008;31.12.9999;;0;
3;;;3.09025.00.0;KONTAKT;0;;;;0;;;;0;
4;1;T;TI=05;;1;ST;;;0;25.08.1998;31.12.9999;;1;
4;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;05.09.1995;31.12.9999;;1;
3;;;3.01323.03.0;ISOLIERTEIL;0;;;;0;;;;0;
4;200;D;D-804043000 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.07.2016;31.12.9999;;0;
3;;;3.09918.01.0;GLEITLAGER;0;;;;0;;;;0;
4;1;T;TI=00;;1;ST;;;0;18.10.2000;31.12.9999;;1;
4;200;D;D-818108000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
3;;;3.28443.03.0;DECKEL;0;;;;0;;;;0;
4;200;D;D-801101000 PZD 000 02;TECHNISCHE DATEN;1;ST;;;0;18.01.2011;31.12.9999;;0;
3;;;3.28882.01.0;DRUCKAUSGLEICHSELEMENT;0;;;;0;;;;0;
4;300;L;3.28882.00.0;DRUCKAUSGLEICHSELEMENT;1,35;CM;;;1;02.03.2015;31.12.9999;;0;
4;;;3.09219.00.0;ACHSE;0;;;;0;;;;0;
5;1;T;TI=03;;1;ST;;;0;18.06.1998;31.12.9999;;1;
5;300;L;3.09219.00.1;ACHSE;1;ST;;;1;10.11.2009;31.12.9999;;0;
4;;;5.00489.00.0;STAENDERPAKET;0;;;;0;;;;0;
5;1;T;TI=00;;1;ST;;;0;11.02.2002;31.12.9999;;1;
5;200;D;D-818170000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
5;300;L;3.09012.00.0;STAENDERBLECH;18;ST;;;1;11.02.2002;31.12.9999;;1;
4;;;3.28882.00.0;DRUCKAUSGLEICHSELEMENT;0;;;;0;;;;0;
5;200;D;D-802798000 KZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;08.05.2015;31.12.9999;;0;
5;;;3.09219.00.1;ACHSE;0;;;;0;;;;0;
6;300;L;3.09219.06.0;ACHSE,GEHAERTET;1;ST;;;1;18.11.2009;31.12.9999;;0;
5;;;3.09012.00.0;STAENDERBLECH;0;;;;0;;;;0;
6;1;T;TI=02;;1;ST;;;0;09.03.1995;31.12.9999;;1;
6;;;3.09219.06.0;ACHSE,GEHAERTET;0;;;;0;;;;0;
7;1;T;TI=00;;1;ST;;;0;05.07.1999;31.12.9999;;1;
7;300;L;2.09219.00.0;ACHSE,VORGEFERTIGT;1;ST;;;1;05.07.1999;31.12.9999;;1;
7;;;2.09219.00.0;ACHSE,VORGEFERTIGT;0;;;;0;;;;0;
8;1;T;TI=01;;1;ST;;;0;15.09.2003;31.12.9999;;1;
8;300;L;3.00689.03.0;STABSTAHL;3;G;;;1;29.10.2008;31.12.9999;;0;
8;;;3.00689.03.0;STABSTAHL;0;;;;0;;;;0;
9;1;T;TI=00;;1;ST;;;0;27.06.2001;31.12.9999;;1;
9;205;D;D-800058000 PZD 000 05;TECHN.LIEFERBEDINGUNG;1;ST;;;0;20.12.2018;31.12.9999;;0;
